id,loan_amnt,int_rate,issue_d,purpose,addr_state,start_year
985,4000,12.42%,12/1/11,credit_card,NY,2011
1001,14000,14.27%,12/1/11,debt_consolidation,NY,2011
1005,16000,12.69%,12/1/11,credit_card,NY,2011
1011,10000,10.65%,12/1/11,credit_card,NY,2011
1016,20000,16.77%,12/1/11,credit_card,NY,2011
1023,11200,11.71%,12/1/11,other,NY,2011
1035,20000,18.64%,12/1/11,credit_card,NY,2011
1038,5600,7.90%,12/1/11,credit_card,NY,2011
1039,7000,10.65%,12/1/11,debt_consolidation,NY,2011
1040,20300,14.27%,12/1/11,debt_consolidation,NY,2011
1051,18800,21.28%,12/1/11,debt_consolidation,NY,2011
1071,22000,17.27%,12/1/11,debt_consolidation,NY,2011
1072,12000,12.69%,12/1/11,debt_consolidation,NY,2011
1077,4800,6.03%,12/1/11,other,NY,2011
1116,11100,15.27%,12/1/11,debt_consolidation,NY,2011
1117,21000,13.49%,12/1/11,home_improvement,NY,2011
1119,5000,11.71%,12/1/11,credit_card,NY,2011
1120,21000,17.27%,12/1/11,debt_consolidation,NY,2011
1126,11700,11.71%,12/1/11,credit_card,NY,2011
1130,20000,16.77%,12/1/11,credit_card,NY,2011
1137,12000,18.25%,12/1/11,debt_consolidation,NY,2011
1138,25000,11.71%,12/1/11,debt_consolidation,NY,2011
1145,15000,12.69%,12/1/11,debt_consolidation,NY,2011
1160,29100,23.91%,12/1/11,debt_consolidation,NY,2011
1162,25850,7.90%,12/1/11,credit_card,NY,2011
1173,8000,12.42%,12/1/11,debt_consolidation,NY,2011
1194,10000,12.42%,12/1/11,major_purchase,NY,2011
1198,15000,12.69%,12/1/11,credit_card,NY,2011
1199,22500,12.69%,12/1/11,other,NY,2011
1206,12500,11.71%,12/1/11,credit_card,NY,2011
1207,15000,13.49%,12/1/11,credit_card,NY,2011
1208,16750,17.58%,12/1/11,debt_consolidation,NY,2011
1212,7000,8.90%,12/1/11,debt_consolidation,NY,2011
1232,7200,17.27%,12/1/11,debt_consolidation,NY,2011
1239,12000,9.91%,12/1/11,debt_consolidation,NY,2011
1272,13000,12.42%,12/1/11,other,NY,2011
1299,20000,13.49%,12/1/11,credit_card,NY,2011
1319,4200,6.62%,12/1/11,debt_consolidation,NY,2011
1338,20000,13.49%,12/1/11,wedding,NY,2011
1359,7000,6.03%,12/1/11,other,NY,2011
1369,6000,12.42%,12/1/11,credit_card,NY,2011
1371,20000,9.91%,12/1/11,debt_consolidation,NY,2011
1381,12000,12.69%,12/1/11,other,NY,2011
1433,25000,21.28%,12/1/11,credit_card,NY,2011
1445,5500,7.51%,12/1/11,debt_consolidation,NY,2011
1456,12000,14.65%,12/1/11,credit_card,NY,2011
1463,20000,7.90%,12/1/11,debt_consolidation,NY,2011
1472,25000,11.71%,12/1/11,moving,NY,2011
1477,11250,12.69%,12/1/11,wedding,NY,2011
1490,10800,14.27%,12/1/11,credit_card,NY,2011
1492,6075,17.27%,12/1/11,small_business,NY,2011
1517,20000,16.77%,12/1/11,debt_consolidation,NY,2011
1518,3250,16.29%,12/1/11,moving,NY,2011
1523,20000,15.96%,12/1/11,home_improvement,NY,2011
1544,28000,9.91%,12/1/11,small_business,NY,2011
1558,12000,6.62%,12/1/11,credit_card,NY,2011
1563,20400,11.71%,12/1/11,debt_consolidation,NY,2011
1567,25000,14.65%,12/1/11,credit_card,NY,2011
1573,24000,12.69%,12/1/11,small_business,NY,2011
1575,25000,14.27%,12/1/11,debt_consolidation,NY,2011
1602,15000,15.96%,12/1/11,credit_card,NY,2011
1625,7800,13.49%,12/1/11,home_improvement,NY,2011
1646,5000,8.90%,12/1/11,wedding,NY,2011
1657,12000,11.71%,12/1/11,debt_consolidation,NY,2011
1658,20000,14.27%,12/1/11,debt_consolidation,NY,2011
1681,1000,10.65%,12/1/11,moving,NY,2011
1691,12000,16.29%,12/1/11,credit_card,NY,2011
1694,13000,12.69%,12/1/11,credit_card,NY,2011
1712,19075,17.58%,12/1/11,debt_consolidation,NY,2011
1716,10625,12.42%,12/1/11,credit_card,NY,2011
1717,12000,11.71%,12/1/11,debt_consolidation,NY,2011
1730,25000,18.25%,12/1/11,debt_consolidation,NY,2011
1742,15075,15.27%,12/1/11,debt_consolidation,NY,2011
1745,8500,10.65%,12/1/11,debt_consolidation,NY,2011
1746,28000,18.64%,12/1/11,debt_consolidation,NY,2011
1749,15000,22.35%,12/1/11,debt_consolidation,NY,2011
1755,10000,13.49%,12/1/11,credit_card,NY,2011
1757,16000,15.27%,12/1/11,debt_consolidation,NY,2011
1769,20000,13.49%,12/1/11,debt_consolidation,NY,2011
1775,9000,8.90%,12/1/11,debt_consolidation,NY,2011
1785,5000,16.77%,12/1/11,credit_card,NY,2011
1788,10000,12.42%,12/1/11,debt_consolidation,NY,2011
1790,12000,19.91%,12/1/11,debt_consolidation,NY,2011
1816,6000,10.65%,12/1/11,debt_consolidation,NY,2011
1825,10000,6.62%,12/1/11,credit_card,NY,2011
1834,14000,11.71%,12/1/11,debt_consolidation,NY,2011
1841,22400,12.69%,12/1/11,debt_consolidation,NY,2011
1854,12000,14.27%,12/1/11,debt_consolidation,NY,2011
1880,12000,7.90%,12/1/11,credit_card,NY,2011
1885,32000,20.89%,12/1/11,car,NY,2011
1901,10000,13.49%,11/1/11,other,NY,2011
1907,6000,15.27%,11/1/11,moving,NY,2011
1927,6100,13.49%,12/1/11,debt_consolidation,NY,2011
1929,24000,9.91%,12/1/11,debt_consolidation,NY,2011
1948,17625,12.69%,12/1/11,credit_card,NY,2011
1950,29100,10.65%,12/1/11,debt_consolidation,NY,2011
1969,7000,6.62%,12/1/11,debt_consolidation,NY,2011
1970,25000,6.62%,12/1/11,debt_consolidation,NY,2011
1984,15000,15.96%,12/1/11,credit_card,NY,2011
1992,19500,12.42%,12/1/11,home_improvement,NY,2011
2000,35000,10.65%,12/1/11,debt_consolidation,NY,2011
2027,13000,17.27%,12/1/11,credit_card,NY,2011
2041,1500,12.42%,11/1/11,moving,NY,2011
2062,12000,12.42%,11/1/11,credit_card,NY,2011
2064,1800,7.51%,11/1/11,debt_consolidation,NY,2011
2070,20000,19.91%,12/1/11,debt_consolidation,NY,2011
2075,7750,7.51%,12/1/11,debt_consolidation,NY,2011
2093,13200,12.42%,11/1/11,debt_consolidation,NY,2011
2115,3000,12.42%,11/1/11,debt_consolidation,NY,2011
2121,8000,18.25%,11/1/11,debt_consolidation,NY,2011
2141,8000,21.67%,12/1/11,other,NY,2011
2154,20000,21.28%,12/1/11,debt_consolidation,NY,2011
2158,7000,15.96%,12/1/11,major_purchase,NY,2011
2172,5000,9.91%,11/1/11,other,NY,2011
2179,15000,11.71%,11/1/11,other,NY,2011
2191,14000,13.49%,12/1/11,debt_consolidation,NY,2011
2194,12400,21.28%,12/1/11,other,NY,2011
2204,19125,15.27%,12/1/11,debt_consolidation,NY,2011
2206,20000,12.42%,12/1/11,debt_consolidation,NY,2011
2209,3800,18.25%,11/1/11,credit_card,NY,2011
2216,5000,11.71%,12/1/11,debt_consolidation,NY,2011
2229,15000,13.49%,11/1/11,wedding,NY,2011
2236,20000,14.27%,12/1/11,debt_consolidation,NY,2011
2253,10000,11.71%,11/1/11,debt_consolidation,NY,2011
2287,24000,18.25%,12/1/11,wedding,NY,2011
2288,23500,12.69%,12/1/11,debt_consolidation,NY,2011
2303,8000,16.29%,11/1/11,debt_consolidation,NY,2011
2305,12000,11.71%,11/1/11,credit_card,NY,2011
2309,12000,19.03%,12/1/11,credit_card,NY,2011
2336,20000,16.77%,12/1/11,debt_consolidation,NY,2011
2340,6625,12.69%,11/1/11,credit_card,NY,2011
2342,15000,11.71%,11/1/11,debt_consolidation,NY,2011
2347,11550,16.77%,11/1/11,credit_card,NY,2011
2348,6000,8.90%,11/1/11,home_improvement,NY,2011
2349,35000,18.64%,12/1/11,debt_consolidation,NY,2011
2358,20000,10.65%,11/1/11,credit_card,NY,2011
2387,20000,10.65%,11/1/11,debt_consolidation,NY,2011
2397,6000,9.91%,11/1/11,car,NY,2011
2406,12775,9.91%,11/1/11,credit_card,NY,2011
2419,16000,11.71%,11/1/11,credit_card,NY,2011
2424,3500,8.90%,11/1/11,car,NY,2011
2430,15600,7.90%,11/1/11,debt_consolidation,NY,2011
2452,1600,8.90%,11/1/11,other,NY,2011
2457,28000,7.90%,11/1/11,debt_consolidation,NY,2011
2459,20000,12.69%,11/1/11,other,NY,2011
2474,9000,12.69%,11/1/11,debt_consolidation,NY,2011
2500,15000,21.67%,12/1/11,debt_consolidation,NY,2011
2502,12000,13.49%,11/1/11,credit_card,NY,2011
2524,18000,10.65%,11/1/11,credit_card,NY,2011
2536,10000,10.65%,11/1/11,credit_card,NY,2011
2538,2000,14.27%,11/1/11,other,NY,2011
2545,10175,12.69%,11/1/11,credit_card,NY,2011
2549,10000,11.71%,11/1/11,credit_card,NY,2011
2551,2800,10.65%,11/1/11,credit_card,NY,2011
2558,5000,15.96%,11/1/11,credit_card,NY,2011
2568,5000,15.96%,11/1/11,moving,NY,2011
2612,12000,16.77%,11/1/11,credit_card,NY,2011
2617,10400,13.49%,11/1/11,debt_consolidation,NY,2011
2633,15000,11.71%,11/1/11,debt_consolidation,NY,2011
2634,4250,12.69%,11/1/11,credit_card,NY,2011
2645,2400,12.42%,11/1/11,moving,NY,2011
2653,6000,15.96%,11/1/11,credit_card,NY,2011
2658,10125,14.65%,11/1/11,debt_consolidation,NY,2011
2663,12000,10.65%,11/1/11,debt_consolidation,NY,2011
2682,6000,12.69%,11/1/11,other,NY,2011
2684,18000,12.42%,11/1/11,credit_card,NY,2011
2693,3600,14.27%,11/1/11,debt_consolidation,NY,2011
2706,5700,18.64%,11/1/11,credit_card,NY,2011
2719,5000,9.91%,11/1/11,other,NY,2011
2722,9600,17.27%,11/1/11,credit_card,NY,2011
2758,3600,13.49%,11/1/11,credit_card,NY,2011
2769,8875,8.90%,11/1/11,debt_consolidation,NY,2011
2777,3000,7.51%,11/1/11,other,NY,2011
2799,6000,7.90%,11/1/11,debt_consolidation,NY,2011
2800,5200,8.90%,11/1/11,vacation,NY,2011
2807,11200,6.62%,11/1/11,debt_consolidation,NY,2011
2825,2800,6.03%,11/1/11,major_purchase,NY,2011
2827,30000,20.30%,11/1/11,debt_consolidation,NY,2011
2836,24575,20.89%,11/1/11,debt_consolidation,NY,2011
2837,15000,15.27%,11/1/11,debt_consolidation,NY,2011
2906,5200,12.42%,11/1/11,debt_consolidation,NY,2011
2914,6200,12.69%,11/1/11,debt_consolidation,NY,2011
2925,8000,6.62%,11/1/11,home_improvement,NY,2011
2926,5000,20.89%,11/1/11,debt_consolidation,NY,2011
2948,16000,15.27%,11/1/11,credit_card,NY,2011
2971,35000,10.65%,11/1/11,debt_consolidation,NY,2011
2973,7000,7.90%,11/1/11,credit_card,NY,2011
2975,15575,14.27%,11/1/11,debt_consolidation,NY,2011
2981,30000,19.42%,11/1/11,debt_consolidation,NY,2011
2985,18000,7.90%,11/1/11,debt_consolidation,NY,2011
3013,10000,11.71%,12/1/11,debt_consolidation,NY,2011
3017,8000,6.62%,11/1/11,home_improvement,NY,2011
3020,17400,18.25%,11/1/11,debt_consolidation,NY,2011
3046,7000,7.90%,11/1/11,debt_consolidation,NY,2011
3054,6000,12.69%,11/1/11,debt_consolidation,NY,2011
3065,12000,8.90%,11/1/11,small_business,NY,2011
3072,8000,7.90%,12/1/11,debt_consolidation,NY,2011
3085,11200,22.06%,11/1/11,other,NY,2011
3088,16000,6.03%,11/1/11,wedding,NY,2011
3122,12000,19.42%,11/1/11,home_improvement,NY,2011
3130,6000,12.69%,11/1/11,debt_consolidation,NY,2011
3134,12000,10.65%,11/1/11,other,NY,2011
3137,5500,17.58%,11/1/11,credit_card,NY,2011
3142,7200,7.90%,11/1/11,debt_consolidation,NY,2011
3149,22900,18.25%,11/1/11,debt_consolidation,NY,2011
3152,1950,12.69%,11/1/11,other,NY,2011
3153,12000,6.62%,11/1/11,debt_consolidation,NY,2011
3165,6000,10.65%,11/1/11,home_improvement,NY,2011
3173,14000,7.90%,11/1/11,debt_consolidation,NY,2011
3183,3500,11.71%,11/1/11,debt_consolidation,NY,2011
3191,6850,19.03%,11/1/11,debt_consolidation,NY,2011
3199,21000,17.58%,11/1/11,debt_consolidation,NY,2011
3217,3500,16.29%,11/1/11,major_purchase,NY,2011
3234,6400,11.71%,11/1/11,debt_consolidation,NY,2011
3235,10200,8.90%,11/1/11,debt_consolidation,NY,2011
3249,3000,15.27%,11/1/11,other,NY,2011
3251,12000,18.25%,11/1/11,other,NY,2011
3252,7200,8.90%,11/1/11,credit_card,NY,2011
3284,6000,8.90%,11/1/11,debt_consolidation,NY,2011
3289,2800,13.49%,11/1/11,debt_consolidation,NY,2011
3300,5000,6.03%,11/1/11,medical,NY,2011
3314,5500,6.03%,11/1/11,medical,NY,2011
3316,7000,8.90%,11/1/11,moving,NY,2011
3319,35000,22.74%,11/1/11,debt_consolidation,NY,2011
3327,30000,9.91%,11/1/11,house,NY,2011
3331,10000,12.42%,11/1/11,debt_consolidation,NY,2011
3332,19000,12.69%,11/1/11,debt_consolidation,NY,2011
3334,35000,19.91%,11/1/11,debt_consolidation,NY,2011
3342,15000,11.71%,11/1/11,debt_consolidation,NY,2011
3345,6400,10.65%,11/1/11,major_purchase,NY,2011
3355,7500,8.90%,11/1/11,home_improvement,NY,2011
3356,30000,6.62%,11/1/11,wedding,NY,2011
3376,7000,13.49%,11/1/11,debt_consolidation,NY,2011
3411,15000,18.64%,11/1/11,debt_consolidation,NY,2011
3415,6000,14.65%,11/1/11,debt_consolidation,NY,2011
3422,3000,17.58%,11/1/11,medical,NY,2011
3433,14300,20.89%,11/1/11,debt_consolidation,NY,2011
3442,3600,12.42%,11/1/11,car,NY,2011
3455,10000,15.27%,11/1/11,credit_card,NY,2011
3485,8000,9.91%,11/1/11,medical,NY,2011
3490,2000,12.69%,11/1/11,other,NY,2011
3519,6800,9.91%,11/1/11,major_purchase,NY,2011
3523,3500,8.90%,11/1/11,medical,NY,2011
3524,35000,10.65%,11/1/11,debt_consolidation,NY,2011
3566,18000,11.71%,11/1/11,credit_card,NY,2011
3572,25600,14.27%,11/1/11,debt_consolidation,NY,2011
3573,9000,6.62%,11/1/11,debt_consolidation,NY,2011
3589,6700,8.90%,11/1/11,credit_card,NY,2011
3593,35000,19.42%,11/1/11,debt_consolidation,NY,2011
3598,8000,7.90%,11/1/11,car,NY,2011
3619,2400,14.65%,11/1/11,debt_consolidation,NY,2011
3622,6000,9.91%,11/1/11,credit_card,NY,2011
3627,16000,15.27%,11/1/11,debt_consolidation,NY,2011
3643,4000,11.71%,11/1/11,debt_consolidation,NY,2011
3650,17000,6.03%,11/1/11,debt_consolidation,NY,2011
3669,35000,12.42%,11/1/11,debt_consolidation,NY,2011
3678,4600,6.03%,11/1/11,credit_card,NY,2011
3686,20000,11.71%,11/1/11,other,NY,2011
3726,4800,12.42%,11/1/11,moving,NY,2011
3733,24000,12.69%,11/1/11,debt_consolidation,NY,2011
3734,12000,10.65%,11/1/11,debt_consolidation,NY,2011
3735,9450,6.62%,11/1/11,major_purchase,NY,2011
3745,11000,15.96%,11/1/11,small_business,NY,2011
3750,20000,11.71%,11/1/11,credit_card,NY,2011
3766,16000,7.90%,11/1/11,debt_consolidation,NY,2011
3774,1800,11.71%,11/1/11,home_improvement,NY,2011
3794,8000,12.42%,11/1/11,home_improvement,NY,2011
3800,4400,16.29%,11/1/11,credit_card,NY,2011
3806,4900,11.71%,11/1/11,debt_consolidation,NY,2011
3818,2400,11.71%,11/1/11,other,NY,2011
3851,12000,12.42%,11/1/11,debt_consolidation,NY,2011
3862,3600,7.51%,11/1/11,debt_consolidation,NY,2011
3891,15600,19.42%,11/1/11,home_improvement,NY,2011
3901,10000,7.51%,11/1/11,credit_card,NY,2011
3904,7000,7.51%,11/1/11,debt_consolidation,NY,2011
3919,14950,6.62%,11/1/11,debt_consolidation,NY,2011
3930,24000,7.90%,11/1/11,debt_consolidation,NY,2011
3933,15000,8.90%,11/1/11,debt_consolidation,NY,2011
3942,12000,14.65%,11/1/11,debt_consolidation,NY,2011
3950,15000,12.42%,11/1/11,debt_consolidation,NY,2011
3959,12000,9.91%,11/1/11,debt_consolidation,NY,2011
3961,30000,22.06%,11/1/11,debt_consolidation,NY,2011
3973,8250,7.51%,11/1/11,wedding,NY,2011
3977,10000,10.65%,11/1/11,debt_consolidation,NY,2011
3981,3800,7.51%,11/1/11,car,NY,2011
3984,7500,6.03%,11/1/11,medical,NY,2011
3988,30000,15.96%,11/1/11,small_business,NY,2011
4003,6400,7.51%,11/1/11,debt_consolidation,NY,2011
4004,17400,11.71%,11/1/11,medical,NY,2011
4047,30000,7.51%,11/1/11,major_purchase,NY,2011
4055,15000,7.90%,11/1/11,debt_consolidation,NY,2011
4058,7200,15.27%,11/1/11,debt_consolidation,NY,2011
4083,11000,16.77%,11/1/11,debt_consolidation,NY,2011
4111,3000,14.65%,11/1/11,home_improvement,NY,2011
4132,7200,6.62%,11/1/11,major_purchase,NY,2011
4137,10000,7.51%,11/1/11,debt_consolidation,NY,2011
4142,10000,6.62%,11/1/11,debt_consolidation,NY,2011
4148,17600,17.27%,11/1/11,debt_consolidation,NY,2011
4155,8000,16.77%,11/1/11,debt_consolidation,NY,2011
4194,17000,19.03%,11/1/11,small_business,NY,2011
4200,9400,14.27%,11/1/11,debt_consolidation,NY,2011
4209,7100,18.25%,11/1/11,debt_consolidation,NY,2011
4213,12600,12.69%,11/1/11,other,NY,2011
4227,2100,7.51%,11/1/11,vacation,NY,2011
4243,6000,11.71%,11/1/11,debt_consolidation,NY,2011
4255,3800,6.62%,11/1/11,home_improvement,NY,2011
4258,5600,14.27%,11/1/11,credit_card,NY,2011
4260,6000,10.65%,11/1/11,debt_consolidation,NY,2011
4281,2700,13.49%,10/1/11,other,NY,2011
4294,7500,11.71%,10/1/11,debt_consolidation,NY,2011
4295,5000,12.42%,11/1/11,debt_consolidation,NY,2011
4299,3600,7.90%,10/1/11,other,NY,2011
4313,12000,6.03%,10/1/11,credit_card,NY,2011
4316,1450,7.51%,11/1/11,debt_consolidation,NY,2011
4317,30000,11.71%,11/1/11,debt_consolidation,NY,2011
4327,10000,11.71%,10/1/11,debt_consolidation,NY,2011
4338,20000,7.90%,10/1/11,credit_card,NY,2011
4347,7000,7.90%,10/1/11,vacation,NY,2011
4348,8000,6.62%,10/1/11,debt_consolidation,NY,2011
4373,6000,6.03%,10/1/11,car,NY,2011
4378,21000,16.77%,11/1/11,debt_consolidation,NY,2011
4392,7500,7.51%,10/1/11,credit_card,NY,2011
4405,11250,14.27%,10/1/11,debt_consolidation,NY,2011
4407,7800,12.69%,10/1/11,debt_consolidation,NY,2011
4413,24000,11.71%,11/1/11,debt_consolidation,NY,2011
4416,3000,10.65%,10/1/11,other,NY,2011
4434,3000,13.49%,10/1/11,credit_card,NY,2011
4449,20000,10.65%,11/1/11,small_business,NY,2011
4472,7000,8.90%,10/1/11,debt_consolidation,NY,2011
4487,25000,10.65%,11/1/11,small_business,NY,2011
4490,11625,10.65%,11/1/11,small_business,NY,2011
4492,16000,8.90%,10/1/11,credit_card,NY,2011
4500,8000,12.69%,10/1/11,debt_consolidation,NY,2011
4503,8000,17.27%,10/1/11,debt_consolidation,NY,2011
4515,10000,10.65%,10/1/11,debt_consolidation,NY,2011
4535,12000,14.27%,11/1/11,medical,NY,2011
4544,9000,7.51%,10/1/11,moving,NY,2011
4545,17500,19.03%,11/1/11,debt_consolidation,NY,2011
4550,1000,7.90%,10/1/11,other,NY,2011
4554,1200,12.69%,10/1/11,debt_consolidation,NY,2011
4557,21000,11.71%,11/1/11,debt_consolidation,NY,2011
4559,8000,8.90%,11/1/11,debt_consolidation,NY,2011
4563,12000,12.69%,11/1/11,other,NY,2011
4570,28000,7.90%,11/1/11,debt_consolidation,NY,2011
4575,15000,19.91%,11/1/11,credit_card,NY,2011
4586,5000,6.03%,11/1/11,home_improvement,NY,2011
4590,7500,8.90%,11/1/11,credit_card,NY,2011
4593,20000,8.90%,10/1/11,moving,NY,2011
4595,5150,18.64%,11/1/11,debt_consolidation,NY,2011
4602,8875,10.65%,10/1/11,major_purchase,NY,2011
4626,3000,6.03%,10/1/11,debt_consolidation,NY,2011
4629,8000,12.42%,10/1/11,other,NY,2011
4636,14000,6.62%,10/1/11,credit_card,NY,2011
4687,20000,11.71%,10/1/11,debt_consolidation,NY,2011
4696,16000,20.89%,11/1/11,debt_consolidation,NY,2011
4709,13000,8.90%,11/1/11,other,NY,2011
4713,12000,6.03%,10/1/11,credit_card,NY,2011
4714,8900,11.71%,10/1/11,other,NY,2011
4725,10000,11.71%,10/1/11,debt_consolidation,NY,2011
4729,8000,12.42%,10/1/11,debt_consolidation,NY,2011
4734,8800,12.42%,10/1/11,other,NY,2011
4737,1000,8.90%,10/1/11,debt_consolidation,NY,2011
4753,16000,11.71%,10/1/11,debt_consolidation,NY,2011
4755,6250,15.27%,10/1/11,debt_consolidation,NY,2011
4767,12000,7.90%,10/1/11,credit_card,NY,2011
4783,10000,14.27%,10/1/11,home_improvement,NY,2011
4785,3000,9.91%,10/1/11,debt_consolidation,NY,2011
4791,5000,6.03%,10/1/11,major_purchase,NY,2011
4795,14000,13.49%,10/1/11,credit_card,NY,2011
4808,3000,12.42%,10/1/11,other,NY,2011
4813,9250,12.69%,10/1/11,debt_consolidation,NY,2011
4815,14000,21.67%,11/1/11,small_business,NY,2011
4827,21000,12.42%,10/1/11,credit_card,NY,2011
4834,24000,20.30%,11/1/11,debt_consolidation,NY,2011
4843,4000,13.49%,10/1/11,other,NY,2011
4845,20000,6.62%,10/1/11,debt_consolidation,NY,2011
4866,15000,7.90%,10/1/11,other,NY,2011
4868,15000,14.27%,10/1/11,debt_consolidation,NY,2011
4874,12000,7.90%,10/1/11,small_business,NY,2011
4884,4000,7.90%,10/1/11,other,NY,2011
4896,14000,19.42%,10/1/11,debt_consolidation,NY,2011
4913,9500,18.25%,10/1/11,small_business,NY,2011
4938,25000,10.65%,10/1/11,debt_consolidation,NY,2011
4951,2800,13.49%,11/1/11,small_business,NY,2011
4958,23850,16.29%,10/1/11,debt_consolidation,NY,2011
4959,35000,19.42%,10/1/11,debt_consolidation,NY,2011
4960,12000,19.03%,10/1/11,small_business,NY,2011
4967,34475,12.42%,10/1/11,small_business,NY,2011
4982,12000,7.90%,10/1/11,other,NY,2011
5009,13600,17.58%,10/1/11,other,NY,2011
5010,14400,17.58%,10/1/11,small_business,NY,2011
5015,12000,12.42%,10/1/11,credit_card,NY,2011
5024,4800,10.65%,10/1/11,credit_card,NY,2011
5040,12000,8.90%,10/1/11,credit_card,NY,2011
5047,15000,18.25%,10/1/11,debt_consolidation,NY,2011
