id,loan_amnt,int_rate,issue_d,purpose,addr_state
274,11875,12.69%,12/1/11,debt_consolidation,CA
275,5000,6.03%,12/1/11,home_improvement,NJ
276,1800,6.62%,12/1/11,small_business,MI
277,35000,8.90%,12/1/11,debt_consolidation,IL
278,18000,8.90%,12/1/11,credit_card,NY
279,14000,7.90%,12/1/11,debt_consolidation,WV
280,5000,12.42%,12/1/11,debt_consolidation,TX
281,8000,15.96%,12/1/11,credit_card,IL
282,10000,6.03%,12/1/11,debt_consolidation,MA
283,10000,7.51%,12/1/11,debt_consolidation,NJ
284,12000,12.42%,12/1/11,debt_consolidation,CO
285,23200,7.90%,12/1/11,debt_consolidation,MI
286,18000,15.27%,12/1/11,credit_card,CT
287,4800,15.27%,12/1/11,debt_consolidation,WV
288,7300,11.71%,12/1/11,debt_consolidation,VA
289,10400,9.91%,12/1/11,debt_consolidation,FL
290,6600,9.91%,12/1/11,house,FL
291,12000,8.90%,12/1/11,debt_consolidation,NJ
292,13250,17.27%,12/1/11,debt_consolidation,NY
293,12000,11.71%,12/1/11,debt_consolidation,CA
294,25000,9.91%,12/1/11,debt_consolidation,CA
295,6000,10.65%,12/1/11,other,HI
296,12000,7.51%,12/1/11,credit_card,CA
297,14400,11.71%,12/1/11,credit_card,CA
298,10000,12.42%,12/1/11,credit_card,NY
299,8000,11.71%,12/1/11,credit_card,NY
300,8000,16.29%,12/1/11,credit_card,NV
301,30000,12.42%,12/1/11,small_business,TX
302,18000,16.77%,12/1/11,home_improvement,CA
303,13250,11.71%,12/1/11,credit_card,PA
304,14000,14.27%,12/1/11,debt_consolidation,CA
305,20000,20.30%,12/1/11,debt_consolidation,AK
306,10000,16.29%,12/1/11,credit_card,NY
307,35000,20.30%,12/1/11,debt_consolidation,NJ
308,4000,6.03%,12/1/11,debt_consolidation,OR
309,13000,9.91%,12/1/11,debt_consolidation,CA
310,28000,12.69%,12/1/11,credit_card,WI
311,10000,13.49%,12/1/11,debt_consolidation,MA
312,20000,7.90%,12/1/11,debt_consolidation,GA
313,18000,9.91%,12/1/11,debt_consolidation,FL
314,9000,19.91%,12/1/11,credit_card,CA
315,25000,18.64%,12/1/11,debt_consolidation,NY
316,10000,11.71%,12/1/11,other,NY
317,4200,6.03%,12/1/11,credit_card,NJ
318,20000,15.27%,12/1/11,debt_consolidation,CA
319,18000,17.27%,12/1/11,debt_consolidation,VA
320,24000,16.29%,12/1/11,debt_consolidation,GA
321,4475,15.27%,12/1/11,credit_card,CO
322,20000,14.65%,12/1/11,credit_card,CA
323,12000,12.42%,12/1/11,credit_card,NJ
324,18000,17.58%,12/1/11,debt_consolidation,AL
325,5000,12.42%,12/1/11,debt_consolidation,SC
326,3000,6.03%,12/1/11,other,VA
327,25000,19.03%,12/1/11,debt_consolidation,WY
328,18000,19.03%,12/1/11,credit_card,NY
329,12000,9.91%,12/1/11,debt_consolidation,RI
330,20000,15.27%,12/1/11,other,MA
331,10000,13.49%,12/1/11,debt_consolidation,CA
332,15000,12.42%,12/1/11,debt_consolidation,GA
333,12000,7.90%,12/1/11,debt_consolidation,MD
334,20000,10.65%,12/1/11,debt_consolidation,TX
335,6300,11.71%,12/1/11,credit_card,NY
336,20000,16.77%,12/1/11,credit_card,IL
337,35000,17.27%,12/1/11,debt_consolidation,MD
338,8250,15.96%,12/1/11,home_improvement,NY
339,20000,12.69%,12/1/11,home_improvement,LA
340,10000,11.71%,12/1/11,credit_card,FL
341,24000,8.90%,12/1/11,car,FL
342,14400,12.69%,12/1/11,debt_consolidation,IL
343,6000,14.65%,12/1/11,credit_card,MD
344,22000,15.96%,12/1/11,debt_consolidation,IL
345,12000,11.71%,12/1/11,debt_consolidation,MA
346,16000,16.77%,12/1/11,debt_consolidation,MO
347,10000,10.65%,12/1/11,debt_consolidation,NY
348,16000,19.03%,12/1/11,home_improvement,NC
349,10000,12.69%,12/1/11,debt_consolidation,KY
350,3500,13.49%,12/1/11,debt_consolidation,FL
351,9600,9.91%,12/1/11,debt_consolidation,NC
352,9875,7.90%,12/1/11,debt_consolidation,NY
353,21500,17.58%,12/1/11,debt_consolidation,MO
354,4800,7.90%,12/1/11,debt_consolidation,FL
355,7800,6.03%,12/1/11,major_purchase,NV
356,20000,14.27%,12/1/11,credit_card,TX
357,9750,7.51%,12/1/11,debt_consolidation,HI
358,18000,15.96%,12/1/11,credit_card,VA
359,5000,6.03%,12/1/11,other,CA
360,9000,14.65%,12/1/11,debt_consolidation,NY
361,7200,7.90%,12/1/11,debt_consolidation,FL
362,3000,19.03%,12/1/11,other,FL
363,25000,19.42%,12/1/11,credit_card,CA
364,25000,15.27%,12/1/11,debt_consolidation,CA
365,10000,15.96%,12/1/11,debt_consolidation,CA
366,8875,12.69%,12/1/11,debt_consolidation,PA
367,15550,11.71%,12/1/11,debt_consolidation,FL
368,17000,15.27%,12/1/11,debt_consolidation,NJ
369,7500,12.69%,12/1/11,credit_card,CA
370,8875,8.90%,12/1/11,debt_consolidation,CA
371,4500,17.27%,12/1/11,credit_card,OH
372,5800,12.42%,12/1/11,debt_consolidation,TX
373,10000,11.71%,12/1/11,debt_consolidation,NJ
374,10000,9.91%,12/1/11,credit_card,GA
375,14000,11.71%,12/1/11,credit_card,CA
376,25000,19.03%,12/1/11,credit_card,VA
377,12000,8.90%,12/1/11,debt_consolidation,OR
378,24000,7.90%,12/1/11,debt_consolidation,FL
379,14000,14.27%,12/1/11,credit_card,NY
380,12000,8.90%,12/1/11,credit_card,AZ
381,15000,12.69%,12/1/11,debt_consolidation,NJ
382,8050,12.69%,12/1/11,debt_consolidation,WA
383,5600,10.65%,12/1/11,debt_consolidation,CA
384,7500,9.91%,12/1/11,credit_card,CA
385,7000,11.71%,12/1/11,credit_card,MD
386,5400,7.90%,12/1/11,debt_consolidation,MO
387,16000,12.42%,12/1/11,credit_card,PA
388,35000,12.42%,12/1/11,home_improvement,TX
389,6000,7.90%,12/1/11,debt_consolidation,KY
390,4125,12.69%,12/1/11,car,MI
391,9800,16.29%,12/1/11,credit_card,CA
392,15700,18.25%,12/1/11,debt_consolidation,FL
393,5000,6.62%,12/1/11,debt_consolidation,FL
394,9900,11.71%,12/1/11,debt_consolidation,OH
395,4000,11.71%,12/1/11,home_improvement,FL
396,15000,11.71%,12/1/11,debt_consolidation,FL
397,6250,15.96%,12/1/11,debt_consolidation,WI
398,6400,16.29%,12/1/11,debt_consolidation,WI
399,8850,13.49%,12/1/11,major_purchase,NV
400,12000,15.27%,12/1/11,debt_consolidation,NJ
401,15000,8.90%,12/1/11,debt_consolidation,AR
402,6500,14.27%,12/1/11,credit_card,WA
403,8000,15.96%,12/1/11,credit_card,CT
404,30000,21.28%,12/1/11,home_improvement,CT
405,15000,14.65%,12/1/11,credit_card,NJ
406,10200,14.27%,12/1/11,debt_consolidation,CA
407,9000,12.42%,12/1/11,credit_card,FL
408,6500,16.29%,12/1/11,debt_consolidation,FL
409,23000,21.28%,12/1/11,debt_consolidation,MI
410,2000,7.90%,12/1/11,credit_card,CA
411,8000,13.49%,12/1/11,debt_consolidation,CA
412,8875,7.51%,12/1/11,debt_consolidation,KY
413,1500,18.64%,12/1/11,other,OH
414,8000,12.42%,12/1/11,debt_consolidation,PA
415,20000,14.65%,12/1/11,debt_consolidation,CA
416,6500,11.71%,12/1/11,credit_card,MA
417,9600,13.49%,12/1/11,debt_consolidation,NY
418,25975,12.69%,12/1/11,debt_consolidation,PA
419,10000,7.90%,12/1/11,home_improvement,WA
420,15000,12.42%,12/1/11,debt_consolidation,NC
421,9000,6.62%,12/1/11,debt_consolidation,CA
422,10000,7.90%,12/1/11,credit_card,NY
423,1000,14.65%,12/1/11,major_purchase,NJ
424,14000,7.90%,12/1/11,debt_consolidation,TX
425,8500,14.27%,12/1/11,debt_consolidation,PA
426,15000,19.03%,12/1/11,debt_consolidation,FL
427,4500,15.96%,12/1/11,other,NY
428,3000,7.51%,12/1/11,major_purchase,TX
429,10000,9.91%,12/1/11,home_improvement,NJ
430,21250,16.77%,12/1/11,debt_consolidation,MO
431,33425,13.49%,12/1/11,debt_consolidation,NY
432,35000,19.42%,12/1/11,debt_consolidation,WA
433,7200,15.27%,12/1/11,debt_consolidation,TX
434,18000,11.71%,12/1/11,debt_consolidation,AZ
435,23000,7.90%,12/1/11,debt_consolidation,TX
436,20000,16.77%,12/1/11,debt_consolidation,CA
437,6000,17.58%,12/1/11,debt_consolidation,NY
438,7000,8.90%,12/1/11,credit_card,VA
439,21000,12.69%,12/1/11,debt_consolidation,OH
440,8250,7.51%,12/1/11,debt_consolidation,MD
441,13000,9.91%,12/1/11,credit_card,CA
442,18000,6.62%,12/1/11,debt_consolidation,TX
443,7200,6.03%,12/1/11,other,AZ
444,16500,8.90%,12/1/11,credit_card,UT
445,8125,7.90%,12/1/11,debt_consolidation,IL
446,18800,7.51%,12/1/11,debt_consolidation,CA
447,26800,19.03%,12/1/11,credit_card,CA
448,19200,7.90%,12/1/11,debt_consolidation,OK
449,12875,17.58%,12/1/11,debt_consolidation,CA
450,4000,12.42%,12/1/11,credit_card,OH
451,4000,16.29%,12/1/11,debt_consolidation,CA
452,12000,9.91%,12/1/11,credit_card,CA
453,2625,11.71%,12/1/11,medical,NV
454,18000,13.49%,12/1/11,debt_consolidation,AR
455,7000,9.91%,12/1/11,debt_consolidation,PA
456,11300,12.69%,12/1/11,credit_card,FL
457,4000,9.91%,12/1/11,debt_consolidation,CA
458,8000,6.03%,12/1/11,debt_consolidation,SC
459,14400,18.25%,12/1/11,debt_consolidation,RI
460,4375,12.42%,12/1/11,debt_consolidation,CA
461,4100,7.51%,12/1/11,credit_card,LA
462,6000,8.90%,12/1/11,other,OH
463,4200,17.27%,12/1/11,debt_consolidation,AZ
464,4000,6.62%,12/1/11,home_improvement,NC
465,3000,10.65%,12/1/11,other,NJ
466,5400,12.69%,12/1/11,car,TX
467,15000,16.29%,12/1/11,small_business,TX
468,20000,18.64%,12/1/11,debt_consolidation,AZ
469,10400,12.69%,12/1/11,credit_card,CA
470,4500,17.58%,12/1/11,debt_consolidation,WA
471,11500,12.42%,12/1/11,credit_card,DC
472,10000,6.62%,12/1/11,home_improvement,FL
473,18225,13.49%,12/1/11,debt_consolidation,GA
474,3600,8.90%,12/1/11,debt_consolidation,NY
475,18500,11.71%,12/1/11,major_purchase,CA
476,16800,18.25%,12/1/11,credit_card,CO
477,10000,17.27%,12/1/11,debt_consolidation,MT
478,15000,18.25%,12/1/11,debt_consolidation,CA
479,8000,11.71%,12/1/11,major_purchase,NJ
480,25000,16.77%,12/1/11,debt_consolidation,CA
481,16000,7.90%,12/1/11,debt_consolidation,AZ
482,8000,10.65%,12/1/11,debt_consolidation,CA
483,7200,7.51%,12/1/11,debt_consolidation,VA
484,12000,7.51%,12/1/11,debt_consolidation,CA
485,2200,15.27%,12/1/11,debt_consolidation,TX
486,20000,12.69%,12/1/11,other,NY
487,28000,12.42%,12/1/11,debt_consolidation,PA
488,6000,7.51%,12/1/11,debt_consolidation,AR
489,25000,19.42%,12/1/11,credit_card,NY
490,8000,8.90%,12/1/11,debt_consolidation,NY
491,14400,15.27%,12/1/11,debt_consolidation,NY
492,20000,19.03%,12/1/11,credit_card,CA
493,25000,14.27%,12/1/11,debt_consolidation,MD
494,14050,8.90%,12/1/11,major_purchase,NY
495,6000,13.49%,12/1/11,major_purchase,AL
496,16100,11.71%,12/1/11,debt_consolidation,PA
497,35000,20.30%,12/1/11,debt_consolidation,FL
498,10525,7.90%,12/1/11,debt_consolidation,CA
499,7200,15.96%,12/1/11,debt_consolidation,NJ
500,18500,10.65%,12/1/11,debt_consolidation,HI
501,12000,13.49%,12/1/11,debt_consolidation,AR
502,12000,11.71%,12/1/11,credit_card,IL
503,3000,11.71%,12/1/11,other,VA
504,9500,16.29%,12/1/11,debt_consolidation,CA
505,19775,12.42%,12/1/11,debt_consolidation,CA
506,12000,14.65%,12/1/11,credit_card,HI
507,28000,14.27%,12/1/11,debt_consolidation,WA
508,30000,12.42%,12/1/11,debt_consolidation,WI
509,16000,10.65%,12/1/11,debt_consolidation,CA
510,14500,14.65%,12/1/11,credit_card,MD
511,11700,14.65%,12/1/11,credit_card,VA
512,4150,10.65%,12/1/11,debt_consolidation,CA
513,15000,11.71%,12/1/11,debt_consolidation,AL
514,24000,16.77%,12/1/11,credit_card,CA
515,21250,12.42%,12/1/11,other,NJ
516,10000,14.27%,12/1/11,debt_consolidation,AR
517,25000,18.25%,12/1/11,debt_consolidation,CA
518,4000,15.96%,12/1/11,debt_consolidation,NV
519,15000,11.71%,12/1/11,debt_consolidation,NY
520,20000,13.49%,12/1/11,credit_card,FL
521,15000,17.58%,12/1/11,home_improvement,UT
522,3600,15.96%,12/1/11,moving,NY
523,6000,19.03%,12/1/11,debt_consolidation,CA
524,15000,15.27%,12/1/11,debt_consolidation,NY
525,12000,18.25%,12/1/11,credit_card,CA
526,12375,7.51%,12/1/11,debt_consolidation,MD
527,4000,12.69%,12/1/11,home_improvement,FL
528,13000,10.65%,12/1/11,debt_consolidation,FL
529,5000,6.62%,12/1/11,home_improvement,GA
530,5000,15.96%,12/1/11,credit_card,CA
531,26000,11.71%,12/1/11,credit_card,OK
532,15000,18.64%,12/1/11,credit_card,WI
533,4000,19.91%,12/1/11,house,PA
534,8000,7.90%,12/1/11,debt_consolidation,CA
535,1700,7.90%,12/1/11,home_improvement,CO
536,16000,9.91%,12/1/11,debt_consolidation,PA
537,20000,9.91%,12/1/11,debt_consolidation,NY
538,12000,14.65%,12/1/11,debt_consolidation,WA
539,7000,11.71%,12/1/11,credit_card,MD
540,8000,20.30%,12/1/11,debt_consolidation,GA
541,13000,23.52%,12/1/11,debt_consolidation,NY
542,13000,16.29%,12/1/11,debt_consolidation,NC
543,20000,21.28%,12/1/11,debt_consolidation,MN
544,18000,13.49%,12/1/11,debt_consolidation,CT
545,10000,16.29%,12/1/11,credit_card,WA
546,22250,15.27%,12/1/11,debt_consolidation,MO
547,24000,17.58%,12/1/11,debt_consolidation,FL
548,11200,12.42%,12/1/11,car,CA
549,7000,10.65%,12/1/11,other,NY
550,8000,6.03%,12/1/11,house,CA
551,22500,16.77%,12/1/11,credit_card,CA
552,12000,17.27%,12/1/11,debt_consolidation,GA
553,22000,14.65%,12/1/11,debt_consolidation,IL
554,6200,10.65%,12/1/11,credit_card,AK
555,15900,9.91%,12/1/11,debt_consolidation,VA
556,5000,8.90%,12/1/11,other,CA
557,16000,6.62%,12/1/11,other,MA
558,5000,11.71%,12/1/11,car,CA
